player_id,player,app_name,developer,source_type,data_source,credentialed,source_date,downloads_30d,downloads_90d,downloads_365d,revenue_30d,revenue_90d,revenue_365d,website_visits_30d,rank_current,rank_30d_avg,rating,review_count,review_velocity_90d,top_countries,notes
soundation,Soundation,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
beatstars,BeatStars,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
flow-music,Flow Music,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
ripx-daw,RipX DAW,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
klangio,Klangio,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
music-ally,Music Ally,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
midia-research,MIDiA Research,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
namm,NAMM,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
luminate,Luminate,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
chartmetric,Chartmetric,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
a16z-consumer,a16z Consumer,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
general-catalyst,General Catalyst,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
eic-accelerator,EIC Accelerator,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
horizon-europe-cluster-2,Horizon Europe Cluster 2,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
eit-culture-creativity,EIT Culture & Creativity,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
apple-design-awards,Apple Design Awards,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
google-play-best-of,Google Play Best Of,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
music-tectonics,Music Tectonics,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
learning-technologies-awards,Learning Technologies Awards,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
sxsw-edu-launch,SXSW EDU Launch,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
disney,Disney,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
epic-games,Epic Games,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
roblox,Roblox,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
netflix,Netflix,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
nintendo,Nintendo,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
spotify-platform,Spotify,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
muse-group,Muse Group,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
hal-leonard,Hal Leonard,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
musicnotes,Musicnotes,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
makemusic-cloud,MakeMusic Cloud,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
tonalenergy,TonalEnergy,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
soundbrenner,Soundbrenner,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
cifra-club,Cifra Club,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
loog,Loog,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
coach-guitar,Coach Guitar,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
piano-academy,Piano Academy,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
smule,Smule,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
